Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2018,Afghanistan,177,0.2585,0.3202,0.3056,0.3562,0.1138
2018,Albania ,74,0.6519,0.7584,0.7361,0.7877,0.4318
2018,Algeria ,130,0.4227,0.2022,0.2153,0.664,0.3889
2018,Andorra ,62,0.6857,0.5674,0.6042,0.7309,0.722
2018,Angola ,155,0.3376,0.4326,0.4097,0.506,0.0972
2018,Antigua and Barbuda ,90,0.5906,0.4607,0.4583,0.7518,0.5617
2018,Argentina ,43,0.7335,0.6236,0.75,0.8579,0.5927
2018,Armenia ,87,0.5944,0.5674,0.5625,0.7547,0.466
2018,Australia ,2,0.9053,0.9831,0.9722,1,0.7436
2018,Austria,20,0.8301,0.8258,0.8681,0.8505,0.7716
2018,Azerbaijan ,70,0.6574,0.6798,0.7292,0.7369,0.5062
2018,Bahamas ,72,0.6552,0.618,0.7014,0.7249,0.5393
2018,Bahrain ,26,0.8116,0.7978,0.7986,0.7897,0.8466
2018,Bangladesh ,115,0.4862,0.8034,0.7847,0.4763,0.1976
2018,Barbados ,46,0.7229,0.6236,0.6667,0.8301,0.6719
2018,Belarus ,38,0.7641,0.882,0.7361,0.8681,0.6881
2018,Belgium ,27,0.808,0.7584,0.7569,0.974,0.693
2018,Belize ,132,0.4115,0.2921,0.3333,0.6765,0.2247
2018,Benin ,159,0.3264,0.3708,0.4722,0.3653,0.1418
2018,Bhutan ,126,0.4274,0.5281,0.5,0.4743,0.308
2018,Bolivia ,103,0.5307,0.5787,0.5625,0.7148,0.3148
2018,Bosnia and Herzegovina ,105,0.5303,0.4326,0.4306,0.7217,0.4385
2018,Botswana ,127,0.4253,0.1966,0.2083,0.6694,0.3982
2018,Brazil ,44,0.7327,0.9719,0.9236,0.7525,0.522
2018,Brunei Darussalam ,59,0.6923,0.6067,0.7222,0.748,0.6066
2018,Bulgaria ,47,0.7177,0.8708,0.7639,0.8106,0.5785
2018,Burkina Faso ,165,0.3016,0.6236,0.5347,0.2097,0.1603
2018,Burundi ,166,0.2985,0.309,0.3056,0.5113,0.0786
2018,Côte d'Ivoire ,172,0.2776,0.1742,0.2222,0.3357,0.2748
2018,Cabo Verde ,112,0.498,0.427,0.4861,0.6152,0.3926
2018,Cambodia ,145,0.3753,0.1742,0.25,0.5626,0.3132
2018,Cameroon ,136,0.3997,0.3258,0.4583,0.5618,0.179
2018,Canada ,23,0.8258,0.9101,0.9306,0.8744,0.6724
2018,Central African Republic ,188,0.1584,0.2753,0.2083,0.2347,0.0322
2018,Chad ,190,0.1257,0.1461,0.1458,0.1644,0.0669
2018,Chile ,42,0.735,0.8202,0.8333,0.8339,0.5377
2018,China ,65,0.6811,0.9045,0.8611,0.7088,0.4735
2018,Colombia ,61,0.6871,0.9213,0.8819,0.7382,0.4412
2018,Comoros ,182,0.2336,0.0562,0.0972,0.5166,0.0871
2018,Congo ,164,0.3024,0.1854,0.1667,0.5515,0.1889
2018,Costa Rica ,56,0.7004,0.7697,0.6736,0.7933,0.6343
2018,Croatia ,55,0.7018,0.7697,0.6806,0.8196,0.6051
2018,Cuba ,134,0.4101,0.2809,0.2986,0.7862,0.1455
2018,Cyprus ,36,0.7736,0.8202,0.7847,0.8083,0.7279
2018,Czech Republic ,54,0.7084,0.618,0.6528,0.8752,0.5971
2018,Democratic People's Republic of Korea ,185,0.2159,0,0,0.615,0.0327
2018,Democratic Republic of the Congo ,176,0.2612,0.1236,0.2083,0.5108,0.0645
2018,Denmark ,1,0.915,1,1,0.9472,0.7978
2018,Djibouti ,179,0.2401,0.2697,0.2917,0.3325,0.0961
2018,Dominica ,93,0.5794,0.5562,0.6111,0.6497,0.4775
2018,Dominican Republic ,95,0.5726,0.6798,0.6597,0.6927,0.3655
2018,Ecuador ,84,0.6129,0.6742,0.7292,0.7395,0.3699
2018,Egypt ,114,0.488,0.5393,0.5347,0.6072,0.3222
2018,El Salvador ,100,0.5469,0.6517,0.625,0.6348,0.381
2018,Equatorial Guinea ,184,0.2298,0.0506,0.0486,0.5397,0.101
2018,Eritrea ,189,0.1337,0.0337,0.0833,0.3179,0
2018,Estonia ,16,0.8486,0.9101,0.9028,0.8818,0.7613
2018,Eswatini,141,0.382,0.3315,0.375,0.5939,0.1772
2018,Ethiopia ,151,0.3463,0.573,0.6319,0.3094,0.0976
2018,Fiji ,102,0.5348,0.3483,0.4583,0.7899,0.3562
2018,Finland ,6,0.8815,1,0.9653,0.9509,0.7284
2018,France,9,0.879,0.9663,0.9792,0.8598,0.7979
2018,Gabon ,125,0.4313,0.1685,0.2292,0.6398,0.425
2018,Gambia ,168,0.2958,0.2865,0.2708,0.3539,0.2627
2018,Georgia (Country),60,0.6893,0.6236,0.6944,0.8333,0.5403
2018,Germany ,12,0.8765,0.9213,0.9306,0.9036,0.7952
2018,Ghana ,101,0.539,0.6292,0.6944,0.5669,0.3558
2018,Greece ,35,0.7833,0.8764,0.8194,0.8867,0.6439
2018,Grenada ,89,0.593,0.4888,0.4931,0.8202,0.4658
2018,Guatemala ,113,0.4974,0.618,0.6458,0.5524,0.2941
2018,Guinea ,181,0.2348,0.3539,0.3125,0.2406,0.1513
2018,Guinea-Bissau ,187,0.1887,0.1124,0.0764,0.3869,0.1028
2018,Guyana ,124,0.4316,0.3371,0.4306,0.6102,0.2541
2018,Haiti ,163,0.3047,0.4831,0.4444,0.362,0.1078
2018,Honduras ,123,0.4474,0.5449,0.5139,0.6015,0.2268
2018,Hungary ,45,0.7265,0.7079,0.7361,0.8364,0.6071
2018,Iceland ,19,0.8316,0.6854,0.7292,0.9365,0.8292
2018,India ,96,0.5669,0.9551,0.9514,0.5484,0.2009
2018,Indonesia ,107,0.5258,0.618,0.5694,0.6857,0.3222
2018,Iran (Islamic Republic of) ,86,0.6083,0.5281,0.6319,0.7364,0.4566
2018,Iraq ,155,0.3376,0.3371,0.3194,0.5094,0.184
2018,Ireland ,22,0.8287,0.9326,0.8264,0.9626,0.697
